model,phase,exp_type,time_s
CNNBiGRU,train,,39.24
CNNBiGRU,infer,bias,0.53
CNNBiGRU,infer,drift,0.56
CNNBiGRU,train,,42.66
CNNBiGRU,infer,bias,0.52
CNNBiGRU,infer,drift,0.57
CNNBiGRU,train,,39.47
CNNBiGRU,infer,bias,0.55
CNNBiGRU,infer,drift,0.55
CNNBiGRU,train,,36.04
CNNBiGRU,infer,bias,0.54
CNNBiGRU,infer,drift,0.60
CNNBiGRU,train,,35.10
CNNBiGRU,infer,bias,0.59
CNNBiGRU,infer,drift,0.60
CNNBiGRU,train,,32.65
CNNBiGRU,infer,bias,0.52
CNNBiGRU,infer,drift,0.57
CNNBiGRU,train,,101.21
CNNBiGRU,infer,bias,0.53
CNNBiGRU,infer,drift,0.58
CNNBiGRU,train,,72.20
CNNBiGRU,infer,bias,0.54
CNNBiGRU,infer,drift,0.53
CNNBiGRU,train,,85.60
CNNBiGRU,infer,bias,0.61
CNNBiGRU,infer,drift,0.64
CNNBiGRU,train,,80.47
model_1,infer,bias,0.58
model_1,infer,drift,0.61
CNNBiGRU,train,,69.10
CNNBiGRU,infer,bias,0.50
CNNBiGRU,infer,drift,0.51
