model,phase,exp_type,time_s
CNNBiLSTMAttention,train,,100.73
CNNBiLSTMAttention,infer,bias,0.53
CNNBiLSTMAttention,infer,drift,0.55
CNNBiLSTMAttention,train,,102.06
CNNBiLSTMAttention,infer,bias,0.57
CNNBiLSTMAttention,infer,drift,0.63
CNNBiLSTMAttention,train,,93.60
CNNBiLSTMAttention,infer,bias,0.60
CNNBiLSTMAttention,infer,drift,0.67
CNNBiLSTMAttention,train,,85.79
CNNBiLSTMAttention,infer,bias,0.56
CNNBiLSTMAttention,infer,drift,0.55
CNNBiLSTMAttention,train,,91.95
CNNBiLSTMAttention,infer,bias,0.60
CNNBiLSTMAttention,infer,drift,0.54
CNNBiLSTMAttention,train,,43.69
CNNBiLSTMAttention,infer,bias,0.56
CNNBiLSTMAttention,infer,drift,0.85
CNNBiLSTMAttention,train,,39.67
CNNBiLSTMAttention,infer,bias,0.55
CNNBiLSTMAttention,infer,drift,0.53
CNNBiLSTMAttention,train,,47.35
CNNBiLSTMAttention,infer,bias,0.60
CNNBiLSTMAttention,infer,drift,0.71
CNNBiLSTMAttention,train,,43.56
model_3,infer,bias,0.61
model_3,infer,drift,0.60
CNNBiLSTMAttention,train,,38.31
CNNBiLSTMAttention,infer,bias,0.58
CNNBiLSTMAttention,infer,drift,0.58
