model,phase,exp_type,time_s
CrossAttentionBiTCN,train,,92.54
CrossAttentionBiTCN,infer,bias,0.86
CrossAttentionBiTCN,infer,drift,0.93
CrossAttentionBiTCN,train,,65.57
CrossAttentionBiTCN,infer,bias,0.86
CrossAttentionBiTCN,infer,drift,0.89
CrossAttentionBiTCN,train,,74.65
CrossAttentionBiTCN,infer,bias,0.91
CrossAttentionBiTCN,infer,drift,0.90
CrossAttentionBiTCN,train,,57.85
CrossAttentionBiTCN,infer,bias,0.85
CrossAttentionBiTCN,infer,drift,0.90
CrossAttentionBiTCN,train,,71.07
CrossAttentionBiTCN,infer,bias,0.91
CrossAttentionBiTCN,infer,drift,0.98
CrossAttentionBiTCN,train,,68.88
CrossAttentionBiTCN,infer,bias,0.84
CrossAttentionBiTCN,infer,drift,0.90
CrossAttentionBiTCN,train,,66.27
CrossAttentionBiTCN,infer,bias,0.83
CrossAttentionBiTCN,infer,drift,0.88
CrossAttentionBiTCN,train,,72.01
CrossAttentionBiTCN,infer,bias,0.88
CrossAttentionBiTCN,infer,drift,1.04
CrossAttentionBiTCN,train,,71.79
CrossAttentionBiTCN,infer,bias,0.86
CrossAttentionBiTCN,infer,drift,0.89
CrossAttentionBiTCN,train,,84.25
CrossAttentionBiTCN,infer,bias,1.00
CrossAttentionBiTCN,infer,drift,1.05
CrossAttentionBiTCN,train,,81.73
model_2,infer,bias,0.93
model_2,infer,drift,1.00
CrossAttentionBiTCN,train,,71.07
CrossAttentionBiTCN,infer,bias,0.85
CrossAttentionBiTCN,infer,drift,0.91
CrossAttentionBiTCN,train,,71.73
CrossAttentionBiTCN,infer,bias,0.84
CrossAttentionBiTCN,infer,drift,0.93
