model,phase,exp_type,time_s
LSTM,train,,43.98
LSTM,infer,bias,0.40
LSTM,infer,drift,0.36
LSTM,train,,44.53
LSTM,infer,bias,0.35
LSTM,infer,drift,0.47
LSTM,train,,49.02
LSTM,infer,bias,0.55
LSTM,infer,drift,0.43
LSTM,train,,59.13
LSTM,infer,bias,0.37
LSTM,infer,drift,0.46
LSTM,train,,52.49
LSTM,infer,bias,0.42
LSTM,infer,drift,0.35
LSTM,train,,536.17
LSTM,infer,bias,1.16
LSTM,infer,drift,1.13
LSTM,train,,630.77
LSTM,infer,bias,1.13
LSTM,infer,drift,1.20
LSTM,train,,691.81
LSTM,infer,bias,1.29
LSTM,infer,drift,1.24
LSTM,train,,661.04
model,infer,bias,1.33
model,infer,drift,1.28
LSTM,train,,653.29
LSTM,infer,bias,1.20
LSTM,infer,drift,1.09
